-25	114
-142	-173
67	-24
-197	-85
-147	108
-85	89
127	177
-120	178
56	120
63	-164
117	-78
-56	-41
-165	76
-146	146
-49	83
-195	-24
127	-138
-159	160
-64	-61
-39	104
155	141
7	82
-38	-152
75	-22
-55	-184
171	84
145	159
18	-8
75	54
-146	145
71	185
-135	178
17	-50
-136	-44
141	65
-49	-75
47	-46
-128	-31
88	130
-99	9
25	115
-141	-16
-193	-193
-186	163
114	-150
-173	160
180	122
179	96
-184	33
-156	108
141	-135
-58	-26
-119	185
9	-113
36	-193
29	-47
-32	112
186	116
-171	187
117	-117
193	9
176	-27
16	56
-185	165
-107	-56
46	-45
198	23
-88	-77
-127	-63
144	143
-116	-198
-77	125
-98	-108
-169	-112
-97	-139
-150	-59
-124	121
118	100
62	6
154	157
-92	-200
-197	-95
87	-156
133	2
133	25
52	45
-66	30
115	-107
-177	-106
150	192
-182	109
82	-143
-88	-185
126	125
-50	53
78	-98
-114	87
198	-114
115	133
-101	58
120	138
123	17
-128	-23
60	-186
-150	-150
154	174
199	141
14	71
-107	147
81	-195
-169	42
-70	141
7	-46
-175	127
-182	57
-120	-2
-132	-140
-186	-58
116	43
152	8
-133	-178
-56	-117
-100	135
-13	79
-113	-178
48	-176
26	19
135	44
-125	-108
168	-110
104	-194
-129	-18
-166	-145
108	184
-13	-133
155	-178
-90	-26
-79	-86
-47	29
121	-152
-153	-96
115	-115
-69	198
-114	55
97	165
-131	-132
-15	40
-196	82
186	102
-177	38
-31	-20
-59	-52
-99	-171
65	18
1	-89
-173	-86
-111	-168
-74	114
199	-13
55	95
-88	-147
109	126
-105	179
61	88
-104	-184
17	60
-151	-131
163	-98
112	144
-75	45
-56	-191
-178	-133
-148	-142
126	-111
-114	186
-19	-123
89	76
190	38
-21	30
37	-116
-183	-16
-185	24
129	72
17	-24
135	135
29	-132
-104	176
192	-113
-48	171
146	-192
-115	-43
-29	-118
-82	-143
5	-44
45	28
189	-70
-97	-152
-131	-192
81	195
150	-43
20	-191
-24	198
-184	121
103	-109
-172	167
-14	-141
183	-169
-187	119
-46	-167
67	-194
-159	-87
46	19
-18	149
-18	107
191	134
-60	-52
-134	146
89	-91
-200	-143
-5	180
178	-7
-104	-115
10	87
3	88
-17	21
-9	62
157	6
171	-13
24	178
77	111
-55	-116
-158	-186
-81	-182
126	-176
41	-198
152	101
-159	-35
-175	22
175	-97
-165	130
5	53
136	-197
53	20
18	19
-98	-53
73	198
191	-60
-12	-17
-177	-3
-12	159
32	-58
-158	-3
6	82
37	194
156	17
-182	48
-153	-61
-84	-198
-108	-46
188	150
134	-59
-125	135
-101	186
131	-154
-169	-172
-106	169
-46	37
16	63
-139	-90
177	35
-15	-108
0	153
179	193
-128	130
128	161
-19	106
-147	8
113	175
142	22
25	102
-87	85
-39	54
127	-6
4	-97
84	13
181	-163
170	-77
124	-169
-125	106
-162	50
-32	184
194	151
155	70
-128	-154
135	154
-124	72
-69	30
-50	50
86	15
-64	-154
23	52
139	-192
21	179
2	12
137	-14
142	-94
154	-169
-35	-3
101	93
104	169
-47	42
-60	150
-91	3
65	47
46	-192
67	-104
-113	183
50	-163
32	-8
-107	-72
-35	-133
-63	135
64	-147
55	-22
60	-43
-28	-10
123	-11
146	149
-114	-132
174	105
88	30
-174	-180
-89	-67
-89	174
15	-126
24	16
-134	-121
-128	-188
173	27
-33	-169
-194	-10
-67	5
-84	-151
100	106
-65	-51
-74	171
52	-149
-26	25
-86	-53
-117	-183
73	14
-114	-80
145	-186
129	158
46	97
-69	-36
